cid,city,prov,region,year,resilience_index,resilience_std
421200,咸宁市,湖北省,中部,2018,-0.17902140891827498,-0.1112105349444061
421200,咸宁市,湖北省,中部,2019,-1.0411315352788977,-0.6450961840524823
421200,咸宁市,湖北省,中部,2020,2.431773598852161,1.505596813434409
421200,咸宁市,湖北省,中部,2021,-1.2203546847418525,-0.7560850989955811
421200,咸宁市,湖北省,中部,2022,-0.03341055611952237,-0.021036968613828134
421200,咸宁市,湖北省,中部,2023,1.4630080240882664,0.9056618145268218
421300,随州市,湖北省,中部,2016,-0.24724650772420848,-0.15346082298502242
421300,随州市,湖北省,中部,2017,-1.094804565663309,-0.6783346994001054
421300,随州市,湖北省,中部,2018,-0.44701069218408096,-0.27717034457378986
421300,随州市,湖北省,中部,2019,-1.7559990291511132,-1.0877977419188645
421300,随州市,湖北省,中部,2020,0.9224147298476763,0.570884396916044
421300,随州市,湖北省,中部,2021,-1.8456201381813568,-1.1432981037698313
421300,随州市,湖北省,中部,2022,-0.5672585882665125,-0.35163719525893655
421300,随州市,湖北省,中部,2023,0.1851376458920838,0.11430507774970328
430100,长沙市,湖南省,中部,2016,-0.3921108835231881,-0.24317211269294842
430100,长沙市,湖南省,中部,2017,-0.6234149592546884,-0.3864135882739921
430100,长沙市,湖南省,中部,2018,-0.2637011406695621,-0.16365081162133557
430100,长沙市,湖南省,中部,2019,-0.26512146581017,-0.16453038742778048
430100,长沙市,湖南省,中部,2020,0.8744148939003402,0.5411591648508483
430100,长沙市,湖南省,中部,2021,-0.648969906277299,-0.40223919925096124
430100,长沙市,湖南省,中部,2022,0.1469781728692713,0.09067376383577254
430100,长沙市,湖南省,中部,2023,0.37888184870428876,0.23428655844055035
430200,株洲市,湖南省,中部,2016,-0.3391774930925201,-0.21039163993725893
430200,株洲市,湖南省,中部,2017,0.9423961321856622,0.5832584354885162
430200,株洲市,湖南省,中部,2018,0.40354145950440257,0.24955770758520635
430200,株洲市,湖南省,中部,2019,-1.347984087627248,-0.8351231528604566
430200,株洲市,湖南省,中部,2020,0.0026779949034061307,0.0013118693119969149
430200,株洲市,湖南省,中部,2021,-0.47558601339173817,-0.2948664061846475
430200,株洲市,湖南省,中部,2022,-0.06941186538445497,-0.04333177965703948
430200,株洲市,湖南省,中部,2023,0.5431507878016674,0.3360146631184596
430300,湘潭市,湖南省,中部,2016,-0.5280720599794136,-0.32736984883630743
430300,湘潭市,湖南省,中部,2017,0.33665208811230696,0.20813460585822113
430300,湘潭市,湖南省,中部,2018,0.3897944276110992,0.2410444761299066
430300,湘潭市,湖南省,中部,2019,0.522388654917148,0.323157135462784
430300,湘潭市,湖南省,中部,2020,0.17921998558797222,0.11064040218673449
430300,湘潭市,湖南省,中部,2021,-0.37162726209022423,-0.23048706099196944
430300,湘潭市,湖南省,中部,2022,0.19088410989122997,0.11786373524420649
430300,湘潭市,湖南省,中部,2023,0.7961748825399906,0.49270686395086966
430400,衡阳市,湖南省,中部,2016,-0.5376710659504269,-0.3333142999881119
430400,衡阳市,湖南省,中部,2017,0.6012044449991409,0.3719660033339045
430400,衡阳市,湖南省,中部,2018,0.06206296183786815,0.03808766007194063
430400,衡阳市,湖南省,中部,2019,-1.0116117960921518,-0.6268152653678264
430400,衡阳市,湖南省,中部,2020,-0.5878746627941226,-0.36440427221892746
430400,衡阳市,湖南省,中部,2021,-0.7522776343846784,-0.46621538024227194
430400,衡阳市,湖南省,中部,2022,-0.3088007172204775,-0.1915799774728372
430400,衡阳市,湖南省,中部,2023,0.2453483960256491,0.15159225769972287
430500,邵阳市,湖南省,中部,2016,-0.6058371870326063,-0.3755280644346228
430500,邵阳市,湖南省,中部,2017,0.086604592864973,0.05328574696414354
430500,邵阳市,湖南省,中部,2018,-0.7551179122244572,-0.46797430121045375
430500,邵阳市,湖南省,中部,2019,-2.5273681047352876,-1.565489474132537
430500,邵阳市,湖南省,中部,2020,-1.1517523976352717,-0.7136012266197742
430500,邵阳市,湖南省,中部,2021,-0.9836154820174507,-0.6094777700115162
430500,邵阳市,湖南省,中部,2022,-0.4717407800433367,-0.29248513859549424
430500,邵阳市,湖南省,中部,2023,-0.3270476269399175,-0.20287988329914305
430600,岳阳市,湖南省,中部,2016,0.04944792587928646,0.030275448551237705
430600,岳阳市,湖南省,中部,2017,0.7501553804777589,0.46420800866675055
